,Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,potency_label,Representative_pIC50,Flag resistance,Flag Groups,potency_bin,mol_freq,strain_freq,strain_norm
29615,CHEMBL4452161,,,432.44,0.0,4.26,6r,O=C(CC1CC2CCC1C2)NC(C(=O)NO)c1ccc(-c2cc(F)c(F)c(F)c2)cc1,IC50,'=',120.1,nM,6.92,,,UO_0000065,0,CHEMBL4372776,organism-based format,,CHEMBL4371057,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum Dd2 after 72 hrs by DAPI staining-based confocal imaging analysis,Dd2,6.92,active,6.92,,,6.0-7.5,2,3864,Dd2
29616,CHEMBL3217018,,,426.39,0.0,2.84,13b,N=C(N)Nc1ccc(CCc2ccc(NC(=O)CCCCN)cc2)cc1,IC50,'=',1060.0,nM,5.97,,,UO_0000065,0,CHEMBL2318823,organism-based format,,CHEMBL2311357,1,Scientific Literature,J Med Chem,,Antimalarial activity against erythrocytic stage of Plasmodium falciparum NF54 assessed as incorporation of [3H]hypoxanthine after 48 hrs by scintillation counting analysis,NF54,5.97,inactive,5.97,,,5.0-6.0,1,4725,NF54
29617,CHEMBL4472344,,,444.44,0.0,4.39,27,CS(=O)(=O)c1ccc(CNc2cc(C(F)(F)F)c(C#N)c3nc4ccccc4n23)cc1,IC50,'=',12580.0,nM,4.9,,,UO_0000065,0,CHEMBL4373124,organism-based format,,CHEMBL4371072,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive asexual blood stage of Plasmodium falciparum NF54 infected in human RBC assessed as reduction in [3H]hypoxanthine incorporation preincubated for 48 hrs followed by [3H]hypoxanthine addition measured after 24 hrs by liquid scintillation counting method,NF54,4.9,inactive,4.9,chloroquine sensitive,CQS,<=5.0,1,4725,NF54
29618,CHEMBL307261,,,284.35,0.0,2.19,dihydroartemisinin,C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,IC50,'=',1.26,nM,8.9,,,UO_0000065,0,CHEMBL3582645,organism-based format,,CHEMBL3580576,1,Scientific Literature,J Nat Prod,,Antimalarial activity against multidrug-resistant Plasmodium falciparum K1 assessed as reduction in parasite growth incubated for 24 hrs by [3H]hypoxanthine incorporation based microculture radioisotope technique based method,K1,8.9,high_potency,8.505122,multidrug resistant,MDR,>=7.5,229,5948,K1
29619,CHEMBL76,CHLOROQUINE,4.0,319.88,0.0,4.81,CQ,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,'=',12.0,nM,7.92,,,UO_0000065,0,CHEMBL4627593,organism-based format,,CHEMBL4627252,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum 3D7 infected in human erythrocytes assessed as inhibition of parasite viability incubated for 48 hrs by parasite LDH release based colorimetric assay,3D7,7.92,high_potency,7.721176,,,>=7.5,1556,7375,3D7
29620,CHEMBL522145,ACETYLCARANINE,,313.35,0.0,2.35,5,CC(=O)O[C@@H]1CC=C2CCN3Cc4cc5c(cc4[C@H]1[C@@H]23)OCO5,IC50,'=',3500.0,nM,5.46,,,UO_0000065,0,CHEMBL4182253,organism-based format,,CHEMBL4177705,1,Scientific Literature,Bioorg Med Chem Lett,,Antiplasmodial activity against chloroquine-resistant ring stage Plasmodium falciparum Dd2 after 72 hrs by SYBR green 1 dye based assay,Dd2,5.46,inactive,5.46,chloroquine resistant,CQR,5.0-6.0,1,3864,Dd2
29621,CHEMBL3617668,,,596.9,2.0,6.71,7h,CNC1=C([N+](=O)[O-])C(c2ccc(N3CCN(c4ccnc5cc(Cl)ccc45)CC3)cc2)c2cc(Cl)cc(Cl)c2O1,IC50,'=',3920.0,nM,5.41,,,UO_0000065,0,CHEMBL3619345,organism-based format,,CHEMBL3616449,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 incubated for 72 hrs by SYBR Green 1 assay,3D7,5.41,inactive,5.41,chloroquine sensitive,CQS,5.0-6.0,2,7375,3D7
29622,CHEMBL2164257,FOSMIDOMYCIN SODIUM,,205.08,0.0,-0.6,1,O=CN(O)CCCP(=O)([O-])O,IC50,'=',880.0,nM,6.06,,,UO_0000065,0,CHEMBL2167524,organism-based format,,CHEMBL2163278,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 incubated for 3 days by HRP2 detection based ELISA method,3D7,6.06,active,6.026667,chloroquine sensitive,CQS,6.0-7.5,9,7375,3D7
29623,CHEMBL2334025,,,609.81,2.0,5.95,"Table S2, R14C1",CCCN(CCC)Cc1cc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2ccc(Nc3ccnc(C)c3)cc2)ccc1O,IC50,'=',149.0,nM,6.83,,,UO_0000065,0,CHEMBL2342732,organism-based format,,CHEMBL2331413,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum K1 infected in RBC by [3H]hypoxanthine incorporation assay in presence of 0.5 % albumax,K1,6.83,active,6.93,chloroquine resistant,CQR,6.0-7.5,4,5948,K1
29624,CHEMBL2334022,,,501.67,1.0,4.43,"Table S2, R10C1",C[C@@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccc(CN2CCCCC2)c(O)c1)c1ccccc1,IC50,'=',5.9,nM,8.23,,,UO_0000065,0,CHEMBL2342741,organism-based format,,CHEMBL2331413,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum NF54 infected in RBC after 72 hrs by [3H]hypoxanthine incorporation assay in presence of 50 % serum,NF54,8.23,high_potency,8.27,chloroquine sensitive,CQS,>=7.5,4,4725,NF54
29625,CHEMBL2334036,,,580.77,2.0,6.03,55a,CCN(CC)Cc1cc(Nc2ccc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CN[C@H](C)c3ccccc3)cc2)ccc1O,IC50,'=',3.6,nM,8.44,,,UO_0000065,0,CHEMBL2342741,organism-based format,,CHEMBL2331413,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum NF54 infected in RBC after 72 hrs by [3H]hypoxanthine incorporation assay in presence of 50 % serum,NF54,8.44,high_potency,7.8775,chloroquine sensitive,CQS,>=7.5,4,4725,NF54
29626,CHEMBL2334369,,,599.82,1.0,4.18,51a,CC(NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccc(N2CCN(C)CC2)cc1)c1ccc(O)c(CN2CCCCC2)c1,IC50,'=',125.0,nM,6.9,,,UO_0000065,0,CHEMBL2342741,organism-based format,,CHEMBL2331413,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum NF54 infected in RBC after 72 hrs by [3H]hypoxanthine incorporation assay in presence of 50 % serum,NF54,6.9,active,6.795,chloroquine sensitive,CQS,6.0-7.5,2,4725,NF54
29627,CHEMBL2334052,,,486.66,0.0,3.49,49j,C[C@@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccc(N2CCN(C)CC2)cc1)c1ccccc1,IC50,'=',8.5,nM,8.07,,,UO_0000065,0,CHEMBL2342741,organism-based format,,CHEMBL2331413,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum NF54 infected in RBC after 72 hrs by [3H]hypoxanthine incorporation assay in presence of 50 % serum,NF54,8.07,high_potency,8.065,chloroquine sensitive,CQS,>=7.5,4,4725,NF54
29628,CHEMBL3233371,,,332.45,0.0,4.24,10c,CN(C)CCCNc1nc2ccccc2c2c1c1ccccc1n2C,IC50,'=',93.2,nM,7.03,,,UO_0000065,0,CHEMBL3268861,organism-based format,,CHEMBL3259682,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against erythrocytic stage of chloroquine-sensitive Plasmodium falciparum NF54 after 48 hrs by [3H]-hypoxanthine incorporation assay,NF54,7.03,active,7.03,erythrocytic stage of chloroquine sensitive,CQS,6.0-7.5,1,4725,NF54
29630,CHEMBL312687,,,498.75,1.0,7.66,1b,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,IC50,'=',65500.0,nM,4.18,,,UO_0000065,0,CHEMBL4185063,organism-based format,,CHEMBL4184121,1,Scientific Literature,Bioorg Med Chem Lett,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 infected in human erythrocytes,W2,4.18,inactive,4.18,chloroquine resistant,CQR,<=5.0,1,5923,W2
29631,CHEMBL480627,CYCLOPIAZONIC ACID,,336.39,0.0,2.83,CPA,CC(=O)C1=C(O)[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O,IC50,'=',4900.0,nM,5.31,,,UO_0000065,0,CHEMBL4184980,organism-based format,,CHEMBL4184117,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum FcB1,FcB1,5.31,inactive,5.31,,,5.0-6.0,6,748,FcB1
29632,CHEMBL8,CIPROFLOXACIN,4.0,331.35,0.0,1.58,3 Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,IC50,'=',37080.0,nM,4.43,,,UO_0000065,0,CHEMBL4625772,organism-based format,,CHEMBL4622966,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against CQ-resistant Plasmodium falciparum W2 infected in human erythrocytes after 48 hrs by SYBR Green1 dye based fluorescence assay,W2,4.43,inactive,4.841667,cq resistant,CQR,<=5.0,32,5923,W2
29633,CHEMBL2012829,,,297.38,0.0,3.29,1k,Cc1nc2ccccc2n1-c1ccc(C(=O)NC2CC2)s1,IC50,'=',110.0,nM,6.96,,,UO_0000065,0,CHEMBL2014781,organism-based format,,CHEMBL2010768,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against Plasmodium falciparum Dd2 infected in human renal proximal tubule cells after 72 hrs by SYBR green assay,Dd2,6.96,active,6.96,,,6.0-7.5,2,3864,Dd2
29634,CHEMBL5007122,,,334.85,0.0,2.93,1727283,CC[C@H](O)CN1CCC(Nc2ncnc3cc(Cl)ccc23)CC1,IC50,'=',1620.0,nM,5.79,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.79,inactive,5.686667,,,5.0-6.0,4,4725,NF54
29636,CHEMBL5023481,,,280.76,0.0,2.34,1682382,O=C(N[C@H]1CC[C@@H]2CCC[C@@H]21)c1c[nH]c(=O)c(Cl)c1,IC50,'=',2190.0,nM,5.66,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.66,inactive,5.556667,,,5.0-6.0,4,4725,NF54
29637,CHEMBL4927872,,,295.35,0.0,2.25,1638758,COC[C@H](NCCc1cc(F)cc2c1OCOC2)C1CC1,IC50,'=',660.7,nM,6.18,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,6.18,active,6.115,,,6.0-7.5,2,4725,NF54
29639,CHEMBL5012952,,,342.5,0.0,4.2,1647631,C[N+]12CCCCC1C(OC(=O)C1(c3ccccc3)CCCC1)CCC2,IC50,'=',2040.0,nM,5.69,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.69,inactive,5.62,,,5.0-6.0,3,4725,NF54
29640,CHEMBL4892667,,,466.36,0.0,4.28,1655761,COc1ccc2c(c1)[n+](CC(=O)c1ccc(-c3ccc(Br)cc3)cc1)c(CO)n2C,IC50,'=',1910.0,nM,5.72,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.72,inactive,5.485,,,5.0-6.0,3,4725,NF54
29641,CHEMBL70227,,,354.41,0.0,2.18,7e,COc1cc(CC2(O)c3ccccc3C3=NCCN32)cc(OC)c1OC,IC50,'=',70.0,nM,7.16,,,UO_0000065,0,CHEMBL762015,organism-based format,,CHEMBL1136166,1,Scientific Literature,Bioorg Med Chem Lett,,In vitro inhibitory concentration against Plasmodium falciparum F32,F32,7.15,active,7.15,,,6.0-7.5,2,186,F32
29642,CHEMBL4970094,,,446.49,0.0,1.29,1704851,COC(=O)c1ccccc1NC(=O)NCCn1nnc2cc(S(=O)(=O)N(C)C)ccc21,IC50,'=',2570.0,nM,5.59,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.59,inactive,5.59,,,5.0-6.0,1,4725,NF54
29643,CHEMBL4919608,,,409.45,0.0,4.97,1705589,COc1ccc(CNc2nc(-c3nnc(-c4ccccc4)o3)nc3ccccc23)cc1,IC50,'=',3020.0,nM,5.52,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.52,inactive,5.815,,,5.0-6.0,2,4725,NF54
29644,CHEMBL5017039,,,518.98,2.0,5.53,1718384,COc1ccc(CCNc2nc(-c3ccc(OC)cc3F)c3c(N)n(-c4ccc(Cl)cc4)nc3n2)cc1,IC50,'=',3550.0,nM,5.45,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.45,inactive,5.38,,,5.0-6.0,3,4725,NF54
29645,CHEMBL5003580,,,491.58,0.0,4.96,1720249,O=C(Cc1ccc(N(Cc2cccc(F)c2)C(=O)c2cccc(F)c2)cc1)NCCN1CCCCC1,IC50,'=',3240.0,nM,5.49,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.49,inactive,5.385,,,5.0-6.0,3,4725,NF54
29646,CHEMBL3286864,,,394.27,0.0,2.36,13,CC(C)CN(NC(=O)C1CCC(=O)CC1)c1nc(C#N)ncc1Br,IC50,'=',48.1,nM,7.32,,,UO_0000065,0,CHEMBL3292035,organism-based format,,CHEMBL3286314,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 after 48 hrs by FACS analysis,W2,7.32,active,7.32,chloroquine resistant,CQR,6.0-7.5,4,5923,W2
29647,CHEMBL4909857,,,439.52,1.0,5.07,1704838,CC(=O)Nc1c(-c2ccc(C)cc2)c(C)nn1-c1ccc(C(=O)Nc2cc(C)ccn2)cc1,IC50,'=',2750.0,nM,5.56,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.56,inactive,5.29,,,5.0-6.0,3,4725,NF54
29648,CHEMBL5023243,,,363.42,0.0,3.01,1647948,CCCN1C(=O)c2ccccc2N2C(=O)CC[C@@]12C(=O)Nc1ccccc1,IC50,'=',1660.0,nM,5.78,,,UO_0000065,0,CHEMBL4888491,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 12h",NF54,5.78,inactive,5.706667,,,5.0-6.0,4,4725,NF54
29649,CHEMBL4991465,,,379.42,0.0,2.63,1647959,CCN1C(=O)c2ccccc2N2C(=O)CC[C@@]12C(=O)Nc1cccc(OC)c1,IC50,'=',1700.0,nM,5.77,,,UO_0000065,0,CHEMBL4888491,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 12h",NF54,5.77,inactive,5.88,,,5.0-6.0,4,4725,NF54
29650,CHEMBL4925021,,,411.35,1.0,5.06,1648226,CCN(CC)CCn1c2ccccc2n2cc(-c3ccc(Br)cc3)nc12,IC50,'=',7080.0,nM,5.15,,,UO_0000065,0,CHEMBL4888491,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 12h",NF54,5.15,inactive,5.17,,,5.0-6.0,4,4725,NF54
29652,CHEMBL5011057,,,280.29,0.0,2.31,1777930,O=C(Nc1ccccc1)Nc1cnc(-n2ccnc2)nc1,IC50,'=',2630.0,nM,5.58,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.58,inactive,5.453333,,,5.0-6.0,4,4725,NF54
29653,CHEMBL5024998,,,230.24,0.0,2.16,1781438,Fc1cnc(OC2Cc3ccccc3C2)nc1,IC50,'=',1860.0,nM,5.73,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.73,inactive,5.61,,,5.0-6.0,2,4725,NF54
29654,CHEMBL4923208,,,270.24,0.0,-0.09,1646910,O=c1[nH]c(=O)n(S(=O)(=O)c2ccccc2)cc1F,IC50,'=',2.75,nM,8.56,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,8.56,high_potency,8.46,,,>=7.5,3,4725,NF54
29655,CHEMBL4958873,,,235.31,0.0,2.88,1648260,Cc1ccc[n+](Cc2ccc3ccccc3n2)c1,IC50,'=',3020.0,nM,5.52,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.52,inactive,5.505,,,5.0-6.0,3,4725,NF54
29656,CHEMBL4955147,,,360.43,0.0,4.08,1650323,CCOC(=O)c1cn(CC)c2cc(NC3CCCCC3)c(F)cc2c1=O,IC50,'=',724.4,nM,6.14,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,6.14,active,5.89,,,6.0-7.5,3,4725,NF54
29658,CHEMBL5001349,,,391.48,0.0,3.87,1657777,CCC(CC)C(=O)Nc1cc(C2CC2)nn1-c1nc(-c2ccccc2)cc(=O)[nH]1,IC50,'=',2140.0,nM,5.67,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.67,inactive,5.425,,,5.0-6.0,3,4725,NF54
29659,CHEMBL4948310,,,291.36,0.0,3.85,1658606,Cc1cc(N)nc(Nc2ccc(Nc3ccccc3)cc2)n1,IC50,'=',2240.0,nM,5.65,,,UO_0000065,0,CHEMBL4888488,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 72h",NF54,5.65,inactive,5.44,,,5.0-6.0,4,4725,NF54
29660,CHEMBL3144165,,,739.93,3.0,5.93,14,S=C(NCCCNCCCNCCCNC(=S)NCC(c1ccccc1)c1ccccc1)NCC(c1ccccc1)c1ccccc1,IC50,'=',1316.0,nM,5.88,,,UO_0000065,0,CHEMBL1832683,organism-based format,,CHEMBL1828516,1,Scientific Literature,J Med Chem,,Antimalarial activity against drug-sensitive Plasmodium falciparum 3D7 infected in human erythrocytes after 96 hrs by SYBR Green I-based fluorescence assay,3D7,5.88,inactive,5.88,drug sensitive,MDS,5.0-6.0,2,7375,3D7
29662,CHEMBL7721,,,293.15,0.0,4.6,40,O=C(/C=C/c1ccc(Cl)c(Cl)c1)c1ccc(O)cc1,IC50,'=',20000.0,nM,4.7,,,UO_0000065,0,CHEMBL943128,organism-based format,,CHEMBL1140598,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum K1 by [3H]hypoxanthine incorporation,K1,4.7,inactive,4.72,chloroquine resistant,CQR,<=5.0,2,5948,K1
29663,CHEMBL257183,,,620.78,2.0,6.5,19,CC(=O)O[C@H]1C[C@H]2[C@@H]([C@H](OC(C)=O)C[C@@H]3CC4(CC[C@@]32C)OOC2(CCCCC2)OO4)[C@@H]2CC[C@H]([C@H](C)CCC(=O)O)[C@@]12C,IC50,'=',19.22,nM,7.72,,,UO_0000065,0,CHEMBL925911,organism-based format,,CHEMBL1142398,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum W2,W2,7.72,high_potency,7.72,,,>=7.5,2,5923,W2
29664,CHEMBL5289227,,,539.67,2.0,7.09,9,COC(=O)c1cc2c(c(OC)c1OC)[C@H](C)C[C@@H](OC(=O)Nc1ccc(OC)cc1)[C@H]2[C@@H](C)CCC=C(C)C,IC50,'=',9300.0,nM,5.03,,,UO_0000065,0,CHEMBL5255104,organism-based format,,CHEMBL5252581,1,Scientific Literature,J Nat Prod,,Antimalarial activity against chloroquine sensitive Plasmodium falciparum 3D7 assessed as parasite growth inhibition incubated for 72 hrs by DAPI staining method,3D7,5.03,inactive,5.03,chloroquine sensitive,CQS,5.0-6.0,2,7375,3D7
29667,CHEMBL406344,,,335.36,0.0,3.73,6p,COc1ccc2nc(C)cc(N/N=C/c3ccc4c(c3)OCO4)c2c1,IC50,'=',184.0,nM,6.74,,,UO_0000065,0,CHEMBL934469,organism-based format,,CHEMBL1142372,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 by [3H]hypoxanthine incorporation,W2,6.74,active,6.74,chloroquine resistant,CQR,6.0-7.5,4,5923,W2
29668,CHEMBL476716,,,649.26,1.0,7.1,19,Clc1ccc2[nH]c3c[n+](CCCCCC[n+]4ccc5c(c4)[nH]c4ccc(Cl)cc45)ccc3c2c1,IC50,'=',20.0,nM,7.7,,,UO_0000065,0,CHEMBL1073696,organism-based format,,CHEMBL1157552,1,Scientific Literature,Bioorg Med Chem,,Antiparasitic activity against Plasmodium falciparum K1,K1,7.7,high_potency,7.7,,,>=7.5,2,5948,K1
29669,CHEMBL4128793,,,482.62,0.0,4.67,7i,NC1CCN(C(=O)c2ccc(C3CCC4(CC3)OOC3(OO4)C4CC5CC(C4)CC3C5)cc2)CC1,IC50,'=',4.2,nM,8.38,,,UO_0000065,0,CHEMBL4123444,organism-based format,,CHEMBL4118195,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against Plasmodium falciparum 3D7 infected in human erythrocytes after 48 hrs by SYBR Green I dye-based fluorescence assay,3D7,8.38,high_potency,8.38,,,>=7.5,1,7375,3D7
29670,CHEMBL76,CHLOROQUINE,4.0,319.88,0.0,4.81,CQ,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,'=',10.0,nM,8.0,,,UO_0000065,0,CHEMBL934470,organism-based format,,CHEMBL1142372,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 by [3H]hypoxanthine incorporation,3D7,8.0,high_potency,7.721176,chloroquine sensitive,CQS,>=7.5,1556,7375,3D7
29671,CHEMBL43128,PRIMAQUINE PHOSPHATE,4.0,455.34,0.0,2.78,PQ diphosphate,COc1cc(NC(C)CCCN)c2ncccc2c1,IC50,'=',1500.0,nM,5.82,,,UO_0000065,0,CHEMBL4148161,organism-based format,,CHEMBL4145525,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against erythrocytic stage of Plasmodium falciparum NF54 assessed as reduction in [3H]hypoxanthine incorporation after 48 hrs by liquid scintillation counting method,NF54,5.82,inactive,5.82,,,5.0-6.0,4,4725,NF54
29672,CHEMBL1469728,,,250.3,0.0,3.55,1687477,Oc1ccccc1CNc1cccc2cccnc12,IC50,'=',8510.0,nM,5.07,,,UO_0000065,0,CHEMBL4888491,organism-based format,Erythrocyte,CHEMBL4888484,60, Malaria Hit Generation Library,,CHEMBL3833281,"Hit confirmation in dose-response curve in NF54 nanoGlo assay, at 12h",NF54,5.07,inactive,5.215,,,5.0-6.0,3,4725,NF54
29673,CHEMBL373894,,,351.88,0.0,4.77,3h,Clc1cccc(C(c2ccc(CN3CCCC3)cc2)n2ccnc2)c1,IC50,'=',1032.0,nM,5.99,,,UO_0000065,0,CHEMBL934479,organism-based format,,CHEMBL1142373,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 by [3H]hypoxanthine incorporation,3D7,5.99,inactive,6.475,chloroquine sensitive,CQS,5.0-6.0,8,7375,3D7
29674,CHEMBL76,CHLOROQUINE,4.0,319.88,0.0,4.81,chloroquine,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,'=',320.0,nM,6.5,,,UO_0000065,0,CHEMBL1019940,organism-based format,,CHEMBL1159310,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum K1,K1,6.49,active,6.672191,chloroquine resistant,CQR,6.0-7.5,1556,5948,K1
29675,CHEMBL3577183,,,384.43,0.0,4.41,"5a, Ococymosin",C=CCc1cc2c(c3c1O[C@H](c1cc(OC)c(OC)c(OC)c1)[C@H]3C)OCO2,IC50,'=',450.0,nM,6.35,,,UO_0000065,0,CHEMBL3579562,organism-based format,,CHEMBL3576795,1,Scientific Literature,J Nat Prod,,Antiplasmodium activity against chloroquine-resistant intraerythrocytic stage of Plasmodium falciparum Dd2 assessed as parasite growth inhibition after 72 hrs by SYBR Green I staining-based assay,Dd2,6.35,active,5.84,chloroquine resistant,CQR,6.0-7.5,2,3864,Dd2
